entrezgene,hgnc_symbol
NA,RNU6-574P
NA,
NA,IGHJ2
NA,RNU6-144P
9299,SNORD30
NA,
NA,RPS24P18
NA,
340252,ZNF680
100616158,MIR4505
1089,CEACAM4
NA,
NA,RNA5SP393
3305,HSPA1L
100302201,MIR1228
693165,MIR580
NA,
NA,
NA,
79180,EFHD2
NA,
NA,
NA,
NA,UBQLN4P2
NA,
389677,RBM12B
1082,CGB3
NA,RNU6-550P
NA,GNAI2P1
3811,KIR3DS1
100616254,MIR548AH
441864,TARM1
162966,ZNF600
1139,
105375297,
54851,ANKRD49
151651,EFHB
102465908,MIR6770-2
NA,
146050,ZSCAN29
NA,RNU6-365P
102465498,MIR6830
63940,GPSM3
3111,HLA-DOA
NA,RNA5SP92
693169,MIR584
389558,FAM180A
NA,RN7SKP181
NA,
NA,RNU6-798P
NA,
NA,
NA,
9518,GDF15
23252,OTUD3
NA,RNU5A-5P
NA,
NA,RNU6-1101P
NA,
NA,
NA,RNU6-453P
NA,RNU6-1005P
NA,
NA,RNU2-64P
103504736,MIR8069-2
57596,BEGAIN
574444,MIR491
1945,EFNA4
442896,MIR302D
NA,NDUFB9P2
NA,RNU6-255P
NA,RNU6-272P
NA,ARHGAP42P2
767603,SNORD114-23
10787,NCKAP1
221937,FOXK1
8896,BUD31
NA,
NA,RN7SKP20
100302221,MIR1291
NA,
NA,
NA,
1056,CEL
NA,
NA,RN7SL346P
NA,RNU6-416P
NA,RNU6-1301P
NA,
NA,
100302169,MIR320D2
NA,RN7SL567P
NA,RNU6-971P
100616280,MIR4503
NA,IGLV5-37
81027,TUBB1
NA,POLR3GP2
NA,
NA,RNU6-945P
NA,
NA,
NA,RNU6-1056P
NA,RNU6-700P
NA,MIPEPP2
NA,
NA,
768206,PRCD
130120,REG3G
NA,
NA,RNU6-175P
NA,RNA5SP62
NA,LINC01222
NA,
NA,
NA,
NA,RNU6-1206P
NA,
NA,RNU7-155P
NA,SNORD114-4
5866,RAB3IL1
NA,RN7SL222P
NA,
NA,RN7SL860P
NA,
NA,RNU7-41P
10209,EIF1
NA,FRY-AS1
NA,
26772,SNORD4B
NA,
NA,RN7SL271P
